Pre-assign Room Name,Email Address
Individual working: Quiet room,empty1@durham.ac.uk
Ask a Demonstrator 1,empty2@durham.ac.uk
Ask a Demonstrator 2,empty3@durham.ac.uk
Ask a Demonstrator 3,empty4@durham.ac.uk
Ask Martin,martin.smith@durham.ac.uk
Camera ON 1: Group working,empty5@durham.ac.uk
Camera ON 2: Group working,empty6@durham.ac.uk
Camera ON 3: Group working,empty7@durham.ac.uk
Camera ON 7: Group working,empty8@durham.ac.uk
Camera ON 8: Group working,empty9@durham.ac.uk
Camera ON 9: Group working,empty10@durham.ac.uk
Camera ON 10: Group working,empty11@durham.ac.uk
Camera ON 11: Group working,empty12@durham.ac.uk
Camera ON 12: Group working,empty13@durham.ac.uk
Camera ON 13: Group working,empty14@durham.ac.uk
Camera ON 14: Group working,empty15@durham.ac.uk
Camera ON 15: Group working,empty16@durham.ac.uk
Camera ON 16: Group working,empty17@durham.ac.uk
Camera ON 17: Group working,empty18@durham.ac.uk
Camera ON 18: Group working,empty19@durham.ac.uk
Camera OFF 1: Group working,empty20@durham.ac.uk
Camera OFF 2: Group working,empty21@durham.ac.uk
Camera OFF 3: Group working,empty22@durham.ac.uk
Camera OFF 7: Group working,empty23@durham.ac.uk
Camera OFF 8: Group working,empty24@durham.ac.uk
Camera OFF 9: Group working,empty25@durham.ac.uk
Camera OFF 10: Group working,empty26@durham.ac.uk
Camera OFF 11: Group working,empty27@durham.ac.uk
Camera OFF 12: Group working,empty28@durham.ac.uk
Camera OFF 13: Group working,empty29@durham.ac.uk
Camera OFF 14: Group working,empty30@durham.ac.uk
Camera OFF 15: Group working,empty31@durham.ac.uk
Camera OFF 16: Group working,empty32@durham.ac.uk
Camera OFF 17: Group working,empty33@durham.ac.uk
Camera OFF 18: Group working,empty34@durham.ac.uk
Spare room 1,empty35@durham.ac.uk
Spare room 2,empty36@durham.ac.uk
Spare room 3,empty37@durham.ac.uk
Spare room 7,empty38@durham.ac.uk
Spare room 8,empty39@durham.ac.uk
Spare room 9,empty40@durham.ac.uk
Spare room 10,empty41@durham.ac.uk
Spare room 11,empty42@durham.ac.uk
Spare room 12,empty43@durham.ac.uk
Spare room 13,empty44@durham.ac.uk
Spare room 14,empty45@durham.ac.uk
Spare room 15,empty46@durham.ac.uk
Spare room 16,empty47@durham.ac.uk
Coffee Room,empty48@durham.ac.uk
Chit Chat,empty49@durham.ac.uk
